id_anonimo,dominio_intralaboral_puntaje,dominio_intralaboral_nivel,dominio_extralaboral_puntaje,dominio_extralaboral_nivel,puntaje_total_individual,nivel_riesgo_global,campaña,antigüedad_meses
PX82K9LM,75.2,Alto,42.1,Medio,58.6,Alto,CRMT Service,12
QR14Z5NP,51.0,Medio,38.4,Bajo,44.7,Medio,CRMT Billing,24
MN73W2VK,22.5,Bajo,18.9,Sin riesgo,20.7,Bajo,CRMT Service,36
AB91C3QT,88.3,Muy alto,79.5,Alto,83.9,Muy alto,CRMT Service,6
LK55M8WY,60.4,Alto,55.1,Medio,57.7,Alto,CRMT Billing,18
ZP37N6VH,15.2,Sin riesgo,12.8,Sin riesgo,14.0,Sin riesgo,CRMT Service,48
TW28B4XJ,71.9,Alto,63.4,Alto,67.6,Alto,CRMT Service,9
ER46Q9DM,45.3,Medio,40.7,Medio,43.0,Medio,CRMT Billing,15
HF62L1KN,33.8,Bajo,29.2,Bajo,31.5,Bajo,CRMT Billing,30
YC19V7SR,92.1,Muy alto,85.6,Muy alto,88.8,Muy alto,CRMT Billing,3
DG84P2FW,58.7,Medio,52.3,Medio,55.5,Medio,CRMT Service,21
JB53X5QK,27.4,Bajo,23.1,Bajo,25.2,Bajo,CRMT Service,42
NU67T8ZM,80.6,Muy alto,74.2,Alto,77.4,Muy alto,CRMT Billing,7
WA11R3CV,43.9,Medio,39.6,Medio,41.7,Medio,CRMT Billing,27
OI29K6YP,18.3,Sin riesgo,16.4,Sin riesgo,17.3,Sin riesgo,CRMT Service,54
VL95H4BN,66.1,Alto,61.8,Alto,63.9,Alto,CRMT Service,11
SC78E2JT,49.5,Medio,44.9,Medio,47.2,Medio,CRMT Billing,20
KM42F7WG,37.2,Bajo,32.5,Bajo,34.8,Bajo,CRMT Billing,33
BQ61D9HS,84.7,Muy alto,78.3,Alto,81.5,Muy alto,CRMT Service,5
XF36A8LR,54.8,Medio,50.1,Medio,52.4,Medio,CRMT Service,16
RO73G5TM,24.6,Bajo,20.9,Sin riesgo,22.7,Bajo,CRMT Billing,39
IP48J1KV,77.3,Alto,70.8,Alto,74.0,Alto,CRMT Billing,8
GL92U6NB,41.7,Medio,37.4,Bajo,39.5,Medio,CRMT Service,28
YT15C4QX,12.9,Sin riesgo,10.5,Sin riesgo,11.7,Sin riesgo,CRMT Service,60
HE57O3WZ,68.4,Alto,64.7,Alto,66.5,Alto,CRMT Billing,13
FK23M9PD,95.0,Muy alto,88.1,Muy alto,91.5,Muy alto,CRMT Service,2
SB69V2YJ,47.6,Medio,43.2,Medio,45.4,Medio,CRMT Billing,22
WT34N8HQ,31.1,Bajo,27.8,Bajo,29.4,Bajo,CRMT Service,45
AX86P5CV,73.8,Alto,67.5,Alto,70.6,Alto,CRMT Billing,10
NQ71L3FE,56.2,Medio,51.4,Medio,53.8,Medio,CRMT Service,19
CM49R7SK,20.4,Sin riesgo,17.6,Sin riesgo,19.0,Sin riesgo,CRMT Billing,51
DH65T1NW,82.9,Muy alto,76.4,Alto,79.6,Muy alto,CRMT Billing,4
